iter	Passed	Remaining
667	3990	115472
668	3995	115447
669	4001	115443
670	4007	115428
671	4013	115426
672	4018	115409
673	4024	115388
674	4029	115371
675	4035	115348
676	4040	115331
677	4046	115313
678	4051	115292
679	4057	115277
680	4068	115404
681	4073	115386
682	4079	115365
683	4084	115352
684	4090	115341
685	4096	115333
686	4102	115322
687	4108	115310
688	4113	115300
689	4119	115285
690	4125	115273
691	4130	115259
692	4136	115246
693	4142	115236
694	4147	115216
695	4153	115195
696	4159	115195
697	4165	115184
698	4170	115168
699	4176	115159
700	4182	115144
701	4187	115121
702	4193	115104
703	4198	115087
704	4204	115068
705	4209	115050
706	4216	115055
707	4221	115037
708	4227	115024
709	4233	115011
710	4238	114992
711	4244	114979
712	4249	114959
713	4256	114966
714	4264	115011
715	4270	115030
716	4278	115054
717	4283	115041
718	4289	115020
719	4294	115005
720	4300	114987
721	4306	114979
722	4311	114967
723	4317	114957
724	4323	114950
725	4329	114932
726	4334	114914
727	4340	114901
728	4345	114885
729	4351	114866
730	4356	114845
731	4362	114836
732	4368	114826
733	4373	114807
734	4379	114787
735	4385	114780
736	4391	114773
737	4397	114764
738	4402	114745
739	4408	114730
740	4413	114717
741	4419	114703
742	4425	114699
743	4431	114684
744	4436	114671
745	4442	114652
746	4447	114636
747	4454	114662
748	4461	114671
749	4468	114687
750	4475	114706
751	4480	114693
752	4486	114679
753	4492	114672
754	4497	114651
755	4503	114636
756	4509	114619
757	4514	114603
758	4520	114591
759	4526	114580
760	4531	114568
761	4537	114552
762	4542	114535
763	4548	114531
764	4554	114528
765	4560	114511
766	4566	114505
767	4571	114489
768	4577	114477
769	4583	114459
770	4588	114446
771	4594	114433
772	4600	114420
773	4605	114407
774	4611	114394
775	4616	114375
776	4622	114358
777	4627	114341
778	4633	114329
779	4639	114317
780	4644	114299
781	4650	114280
782	4659	114356
783	4666	114381
784	4672	114368
785	4678	114357
786	4683	114338
787	4689	114323
788	4695	114318
789	4700	114300
790	4706	114292
791	4712	114294
792	4718	114280
793	4724	114270
794	4730	114268
795	4735	114251
796	4741	114233
797	4747	114231
798	4752	114216
799	4758	114205
800	4764	114196
801	4769	114178
802	4775	114159
803	4781	114164
804	4787	114147
805	4792	114131
806	4798	114123
807	4804	114112
808	4810	114112
809	4815	114094
810	4821	114080
811	4827	114070
812	4832	114058
813	4838	114042
814	4844	114028
815	4850	114024
816	4858	114071
817	4865	114090
818	4871	114092
819	4877	114085
820	4882	114067
821	4888	114050
822	4894	114045
823	4900	114043
824	4906	114030
825	4911	114019
826	4917	114004
827	4923	113996
828	4928	113981
829	4934	113963
830	4940	113954
831	4945	113937
832	4951	113922
833	4956	113903
834	4961	113885
835	4967	113869
836	4972	113854
837	4978	113840
838	4984	113824
839	4989	113810
840	4995	113807
841	5001	113793
842	5007	113788
843	5012	113772
844	5018	113758
845	5024	113756
846	5030	113746
847	5035	113736
848	5041	113722
849	5047	113706
850	5052	113698
851	5059	113714
852	5066	113731
853	5072	113726
854	5078	113711
855	5084	113711
856	5090	113701
857	5096	113696
858	5101	113682
859	5107	113668
860	5113	113659
861	5118	113648
862	5124	113636
863	5130	113633
864	5136	113622
865	5141	113606
866	5147	113591
867	5153	113581
868	5158	113575
869	5164	113562
870	5170	113551
871	5175	113536
872	5181	113524
873	5187	113513
874	5192	113497
875	5198	113483
876	5204	113480
877	5209	113466
878	5215	113455
879	5221	113441
880	5226	113424
881	5236	113497
882	5241	113488
883	5247	113475
884	5253	113467
885	5262	113523
886	5268	113521
887	5274	113511
888	5279	113499
889	5285	113485
890	5291	113475
891	5296	113459
892	5302	113451
893	5307	113436
894	5313	113422
895	5318	113408
896	5324	113393
897	5330	113379
898	5335	113368
899	5341	113356
900	5347	113344
901	5352	113328
902	5358	113319
903	5363	113305
904	5369	113301
905	5375	113287
906	5381	113283
907	5387	113284
908	5393	113272
909	5398	113257
910	5404	113252
911	5410	113236
912	5415	113220
913	5421	113217
914	5427	113204
915	5433	113192
916	5438	113180
917	5444	113168
918	5449	113153
919	5455	113145
920	5462	113149
